ROUE,FR-NOR,Rouen
SACL,FR-IDF,Université Paris-Saclay (ComUE)
SORU,FR-IDF,Sorbonne université
STET,FR-ARA,Saint-Etienne
STRA,FR-GES,Strasbourg
STR1,FR-GES,Strasbourg 1
STR2,FR-GES,Strasbourg 2
STR3,FR-GES,Strasbourg 3
TOU1,FR-OCC,Toulouse 1
TOU2,FR-OCC,Toulouse 2
TOU3,FR-OCC,Toulouse 3
TOUL,FR-PAC,Toulon
TOUR,FR-CVL,Tours
TROY,FR-GES,Troyes
UBSC,FR-BFC,Bourgogne Franche-Comté
UCFA,FR-ARA,Université Clermont-Auvergne (2021-...)
UEFL,FR-IDF,Université Gustave Eiffel
ULIL,FR-HDF,Université de Lille (2022-....)
UNIP,FR-IDF,Université de Paris (2019-....)
UPAS,FR-IDF,Université Paris-Saclay
UPHF,FR-HDF,Université Polytechnique des Hauts-de-France - Valenciennes
UPSL,FR-IDF,Université Paris sciences et lettres
USPC,FR-IDF,Sorbonne Paris Cité
VALE,FR-HDF,Valenciennes
VERS,FR-IDF,Versailles St Quentin en Yvelines
YANE,FR-GF,Guyane
INPG,FR-ARA,Institut national polytechnique - Grenoble
INPL,FR-GES,Institut national polytechnique - Lorraine
INPT,FR-OCC,Institut national polytechnique - Toulouse
IPPA,FR-IDF,Institut Polytechnique de Paris
AGPT,FR-IDF,AgroParisTech
CLIL,FR-HDF,Centrale Lille Institut
CNAM,FR-IDF,Conservatoire national des arts et métiers
CSUP,FR-IDF,CentraleSupélec
DENS,FR-IDF,Ecole normale supérieure - Cachan
ECAP,FR-IDF,Ecole centrale des arts et manufactures de Paris
ECDL,FR-ARA,Ecole centrale de Lyon
ECLI,FR-HDF,Ecole centrale de Lille
ECDM,FR-PAC,Ecole centrale de Marseille
EHEC,FR-IDF,Ecole des hautes études commerciales
EHES,FR-IDF,Ecole des hautes études en sciences sociales
EIAA,FR-IDF,Ecole nationale supérieure des industries alimentaires - Massy
EMAC,FR-OCC,Ecole nationale des Mines d'Albi-Carmaux
EMAL,FR-OCC,IMT Mines Alès
EMNA,FR-PDL,Ecole des Mines de Nantes
EMSE,FR-ARA,Ecole nationale supérieure des Mines - Saint-Etienne
ENAM,FR-IDF,Ecole nationale supérieure d'arts et métiers
ENAC,FR-OCC,Ecole nationale de l'aviation civile
ENCM,FR-OCC,Ecole nationale supérieure de chimie de Montpellier
ENCP,FR-IDF,Ecole nationale des chartes
ENCR,FR-BRE,Ecole nationale supérieure de chimie de Rennes
ENGR,FR-GES,"Ecole nationale du génie rural, des eaux et forêts"
ENIB,FR-BRE,Ecole nationale d'ingénieurs de Brest
ENIS,FR-ARA,Ecole nationale d'ingénieurs de Saint-Etienne
ENMP,FR-IDF,Ecole nationale supérieure des Mines - Paris
ENPC,FR-IDF,Ecole nationale des ponts et chaussées
ENSA,FR-OCC,Ecole nationale supérieure d'agronomie - Montpellier
ENSF,FR-ARA,"Ecole normale supérieure lettres et sciences humaines - Lyon
(anciennement Ecole normale supérieure lettres et sciences humaines - Fontenay-Saint-Cloud"
ENSL,FR-ARA,Ecole normale supérieure de Lyon
ENSR,FR-BRE,Ecole normale supérieure de Rennes
ENST,FR-IDF,Ecole nationale supérieure des télécommunications
ENSU,FR-IDF,Ecole normale supérieure- Paris (rue d'Ulm)
ENTA,FR-BRE,Ecole nationale supérieure de techniques avancées Bretagne
ENTP,FR-ARA,Ecole nationale des travaux publics
ENVA,FR-IDF,Ecole nationale vétérinaire - Maisons Alfort
EPHE,FR-IDF,Ecole pratique des hautes études
EPXX,FR-IDF,Ecole polytechnique
ESAE,FR-OCC,"ISAE
(Fusion de SUPAERO et ENSICA à  partir de 2007-01-01)"
ESEC,FR-IDF,Ecole supérieure des sciences économiques et commerciales
ESMA,FR-OCC,Ecole nationale supérieure de mécanique et d'aérotechnique
ESTA,FR-IDF,Ecole nationale supérieure de techniques avancées
GLOB,FR-IDF,Institut de physique du Globe
HESA,FR-IDF,HESAM
HESP,FR-BRE,Ecole des hautes études en santé publique - Rennes
IAVF,FR-IDF,"Institut agronomique, vétérinaire et forestier de France - Paris"
IEPP,FR-IDF,Institut d'études politiques - Paris
IMTA,FR-PDL,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire
INAL,FR-IDF,Institut national des langues et civilisations orientales (INALCO)
INAP,FR-IDF,Institut national d'agronomie - Paris Grignon
IOTA,FR-IDF,Institut d'optique théorique et appliquée - Palaiseau
ISAB,FR-CVL,Institut national des sciences appliquées Val de Loire - Bourges
ISAL,FR-ARA,Institut national des sciences appliquées - Lyon
ISAM,FR-NOR,Institut national des sciences appliquées - Rouen
ISAR,FR-BRE,Institut national des sciences appliquées - Rennes
ISAT,FR-OCC,Institut national des sciences appliquées - Toulouse
LY01,FR-ARA,Ecole nationale vétérinaire - Lyon
MNHN,FR-IDF,Museum d'histoire naturelle
MTLD,FR-HDF,Ecole nationale supérieure Mines-Télécom Lille Douai
NSAI,FR-BRE,Ecole nationale de la Statistique et de l'Analyse de l'Information - Rennes
NSAM,FR-OCC,SupAgro - Montpellier
NSAR,FR-BRE,Agrocampus - Rennes
OBSP,FR-IDF,Observatoire de Paris
ONIR,FR-PDL,Ecole nationale vétérinaire - Nantes
PSLE,FR-IDF,Paris Sciences et Lettres (ComUE)
SUPL,FR-IDF,Supélec
TELB,FR-BRE,Ecole nationale supérieure des Telecom de Bretagne - Brest
TELE,FR-IDF,Institut national des télécommunications
